"period_of_date","documentclass_id","budget_id","caption","document_id","close_date","reg_number","main_close_date","main_reg_number","amount_1year","dd_estimate_caption","dd_recipient_caption","kadmr_code","kfsr_code","kcsr_code","kvr_code","dd_purposefulgrant_code","kesr_code","kdr_code","kde_code","kdf_code","dd_grantinvestment_code"
"2025-01-01 - 2025-06-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327927,2025-03-07 00:00:00.000,"01-39-4662",2025-03-07 00:00:00.000,"01-39-4662",10000000.00,,,"911","0502","0520197002","540",,"000","000","000","000",""
"2025-01-01 - 2025-06-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004365115,2025-04-04 00:00:00.000,"855-04/Д",2025-02-28 00:00:00.000,"855-02/C",154412347.95,,,"939","0409","1320197003","540",,"000","000","000","000",""
"2025-01-01 - 2025-06-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004365115,2025-04-04 00:00:00.000,"855-04/Д",2025-02-28 00:00:00.000,"855-02/C",0.00,,,"939","0409","1320197003","540",,"000","000","000","000",""
"2025-01-01 - 2025-06-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004367812,2025-04-14 00:00:00.000,"01-39-4667",2025-04-14 00:00:00.000,"01-39-4667",9409186.18,,,"911","0503","0520197002","540",,"000","000","000","000",""
"2025-01-01 - 2025-06-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004367812,2025-04-14 00:00:00.000,"01-39-4667",2025-04-14 00:00:00.000,"01-39-4667",7437662.85,,,"911","0503","0520197002","540",,"000","000","000","000",""
"2025-01-01 - 2025-06-01",278,1401000006128,Бюджет города Благовещенска,1211004338668,2025-02-20 00:00:00.000,"1",2024-11-20 00:00:00.000,"2",100584360.32,"01500 - СУБСИДИИ АУ/БУ (объекты капитальных вложений)",управление ЖКХ города Благовещенска,"005","0412","09103S7110","464",ОБ-41,"000","004","0000","000","0000000000000000000000000"
"2025-01-01 - 2025-06-01",278,1401000006128,Бюджет города Благовещенска,1211004338668,2025-02-20 00:00:00.000,"1",2024-11-20 00:00:00.000,"2",139214131.70,"01500 - СУБСИДИИ АУ/БУ (объекты капитальных вложений)",управление ЖКХ города Благовещенска,"005","0412","09103S7110","464",ОБ-41,"000","069","0000","000","0000000000000000000000000"
"2025-01-01 - 2025-06-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004352424,2025-03-13 00:00:00.000,"44/БУ/1",2024-12-17 00:00:00.000,"44/БУ",0.00,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0801","14204R5767","464","0","000","145","000","000",""
"2025-01-01 - 2025-06-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327015,2025-02-13 00:00:00.000,"8/БУ-2025",2025-02-13 00:00:00.000,"8/БУ-2025",11573195.88,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0701","121Я150540","464","0","000","168","000","000",""
"2025-01-01 - 2025-06-01",313,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327017,2025-02-13 00:00:00.000,"6/БУ-2025",2025-02-13 00:00:00.000,"6/БУ-2025",39948979.82,Министерство строительства и архитектуры Амурской области,"ГБУ АО ""Строитель""","938","0702","121Ю450490","464","0","000","169","000","000",""
