"period_of_date","documentclass_id","budget_id","caption","document_id","close_date","reg_number","main_close_date","main_reg_number","amount_1year","dd_estimate_caption","dd_recipient_caption","kadmr_code","kfsr_code","kcsr_code","kvr_code","dd_purposefulgrant_code","kesr_code","kdr_code","kde_code","kdf_code","dd_grantinvestment_code"
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004327927,2025-03-07 00:00:00.000,"01-39-4662",2025-03-07 00:00:00.000,"01-39-4662",10000000.00,,,"911","0502","0520197002","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004411730,2025-06-30 00:00:00.000,"861-06/С",2025-06-30 00:00:00.000,"861-06/С",0.00,,,"939","0408","1320261051","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004411730,2025-06-30 00:00:00.000,"861-06/С",2025-06-30 00:00:00.000,"861-06/С",176323766.63,,,"939","0408","1320261051","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416335,2025-06-26 00:00:00.000,"01-39-4691",2025-06-26 00:00:00.000,"01-39-4691",0.00,,,"911","0502","052016105Е","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416351,2025-07-02 00:00:00.000,"01-39-4696",2025-07-02 00:00:00.000,"01-39-4696",0.00,,,"911","0502","0520161056","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416351,2025-07-02 00:00:00.000,"01-39-4696",2025-07-02 00:00:00.000,"01-39-4696",0.00,,,"911","0502","0520161056","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416352,2025-07-02 00:00:00.000,"01-39-4697",2025-07-02 00:00:00.000,"01-39-4697",0.00,,,"911","0502","0520161057","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416352,2025-07-02 00:00:00.000,"01-39-4697",2025-07-02 00:00:00.000,"01-39-4697",0.00,,,"911","0502","0520161057","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416353,2025-07-02 00:00:00.000,"01-39-4698",2025-07-02 00:00:00.000,"01-39-4698",0.00,,,"911","0502","052016105Ж","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004416353,2025-07-02 00:00:00.000,"01-39-4698",2025-07-02 00:00:00.000,"01-39-4698",0.00,,,"911","0502","052016105Ж","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004440079,2025-07-30 00:00:00.000,"01-39-4694/1",2025-07-02 00:00:00.000,"01-39-4694",232700000.00,,,"911","0502","0520161055","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004440079,2025-07-30 00:00:00.000,"01-39-4694/1",2025-07-02 00:00:00.000,"01-39-4694",0.00,,,"911","0502","0520161055","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004440823,2025-07-29 00:00:00.000,"01-39-4699/1",2025-07-03 00:00:00.000,"01-39-4699",0.00,,,"911","0502","0520161059","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004440823,2025-07-29 00:00:00.000,"01-39-4699/1",2025-07-03 00:00:00.000,"01-39-4699",0.00,,,"911","0502","0520161059","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004447047,2025-08-07 00:00:00.000,"855-08/Д",2025-02-28 00:00:00.000,"855-02/C",154412347.95,,,"939","0409","1320197003","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004447047,2025-08-07 00:00:00.000,"855-08/Д",2025-02-28 00:00:00.000,"855-02/C",0.00,,,"939","0409","1320197003","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004528445,2025-11-26 00:00:00.000,"01-39-4693/1",2025-06-27 00:00:00.000,"01-39-4693",120000000.00,,,"911","0502","052016105В","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004534858,2025-11-13 00:00:00.000,"01-39-4725",2025-11-13 00:00:00.000,"01-39-4725",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004534858,2025-11-13 00:00:00.000,"01-39-4725",2025-11-13 00:00:00.000,"01-39-4725",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004534878,2025-12-03 00:00:00.000,"01-39-7733",2025-12-03 00:00:00.000,"01-39-7733",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004534878,2025-12-03 00:00:00.000,"01-39-7733",2025-12-03 00:00:00.000,"01-39-7733",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004539567,2025-11-14 00:00:00.000,"01-39-4728",2025-11-14 00:00:00.000,"01-39-4728",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004539567,2025-11-14 00:00:00.000,"01-39-4728",2025-11-14 00:00:00.000,"01-39-4728",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004562348,2025-12-04 00:00:00.000,"44/2",2025-10-21 00:00:00.000,"44",0.00,,,"917","0801","0320497501","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004562348,2025-12-04 00:00:00.000,"44/2",2025-10-21 00:00:00.000,"44",300000000.00,,,"917","0801","0320497501","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004572095,2025-12-25 00:00:00.000,"866-12/С",2025-12-25 00:00:00.000,"866-12/С",0.00,,,"939","0409","1320197504","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004572095,2025-12-25 00:00:00.000,"866-12/С",2025-12-25 00:00:00.000,"866-12/С",161600000.00,,,"939","0409","1320197504","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004577048,2025-12-30 00:00:00.000,"01-39-4692/2",2025-06-27 00:00:00.000,"01-39-4692",110185650.00,,,"911","0502","052016105Б","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004597573,2025-12-24 00:00:00.000,"01-39-4723/1",2025-11-10 00:00:00.000,"01-39-4723",151400000.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
"2025-01-01 - 2026-04-01",273,1401000006339,!!! НЕ РАБОТАТЬ !!! Областной бюджет Амурской области,1211004597573,2025-12-24 00:00:00.000,"01-39-4723/1",2025-11-10 00:00:00.000,"01-39-4723",0.00,,,"911","0502","0520197503","540",,"000","000","000","000",""
